"X7_CAMPO","X7_SEQUENC","X7_REGRA","X7_CDOMIN","X7_TIPO","X7_SEEK","X7_ALIAS","X7_ORDEM","X7_CHAVE","X7_CONDIC","X7_PROPRI"
"EE6_AGENT4","001","SY5->Y5_NOME","EE6_DSCAG4","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENT4","!EMPTY(M->EE6_AGENT4)","S"
"EE6_AGENT5","001","SY5->Y5_NOME","EE6_DSCAG5","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENT5","!EMPTY(M->EE6_AGENT5)","S"
"EE6_AGENTE","001","M->EE6_DSCAGE := SY5->Y5_NOME","EE6_DSCAGE","P","S","SY5","1","XFILIAL(""SY5"")+M->EE6_AGENTE","","S"
"EE6_BANDEI","001","SYA->YA_DESCR","EE6_DSCBAN","P","S","SYA","1","xFilial(""SYA"")+M->EE6_BANDEI","","S"
"EE6_COD","001","M->EE6_NOME := EE6->EE6_NOME","EE6_NOME","P","S","EE6","1","XFILIAL(""EE6"")+M->EE6_COD","Empty(M->EE6_ORIGEM)","S"
"EE6_COD","002","M->EE6_DT_CON := EE6->EE6_DT_CON","EE6_DT_CON","P","N","","0","","Empty(M->EE6_DT_CON)","S"
"EE6_ORIGEM","001","M->EE6_DSCORI := SY9->Y9_DESCR","EE6_DSCORI","P","S","SY9","2","XFILIAL(""SY9"")+M->EE6_ORIGEM","!EMPTY(M->EE6_ORIGEM)","S"
"EE7_BELOJA","001","IF(!EMPTY(M->EE7_BELOJA),SA2->A2_NOME,"""")","EE7_BENEDE","P","S","SA2","1","XFILIAL(""SA2"")+M->EE7_BENEF+M->EE7_BELOJA","","S"
"EE7_BELOJA","002","IF(!EMPTY(M->EE7_BENEF),EECMEND(""SA2"",1,M->EE7_BENEF,.T.,,1),"""")","EE7_ENDBEN","P","N","","0","","","S"
"EE7_BELOJA","003","IF(!EMPTY(M->EE7_BENEF),EECMEND(""SA2"",1,M->EE7_BENEF,.T.,,2),"""")","EE7_END2BE","P","N","","0","","","S"
"EE7_BENEF","001","IF(!EMPTY(M->EE7_BENEF),SA2->A2_NOME,"""")","EE7_BENEDE","P","N","","0","","","S"
"EE7_BENEF","002","IF(!EMPTY(M->EE7_BENEF),SA2->A2_LOJA,"""")","EE7_BELOJA","P","N","","0","","","S"
"EE7_BENEF","003","IF(!EMPTY(M->EE7_BENEF),EECMEND(""SA2"",1,M->EE7_BENEF+M->EE7_BELOJA,.T.,,1),"""")","EE7_ENDBEN","P","N","","0","","","S"
"EE7_BENEF","004","IF(!EMPTY(M->EE7_BENEF),EECMEND(""SA2"",1,M->EE7_BENEF+M->EE7_BELOJA,.T.,,2),"""")","EE7_END2BE","P","N","","0","","","S"
"EE7_CLIENT","001","IF(!EMPTY(M->EE7_CLIENT),SA1->A1_NOME,"""")","EE7_CLIEDE","P","N","","0","","","S"
"EE7_CLIENT","002","IF(!EMPTY(M->EE7_CLIENT),SA1->A1_LOJA,"""")","EE7_CLLOJA","P","N","","0","","","S"
"EE7_CLLOJA","001","IF(!EMPTY(M->EE7_CLLOJA),SA1->A1_NOME,"""")","EE7_CLIEDE","P","S","SA1","1","XFILIAL(""SA1"")+M->EE7_CLIENT+M->EE7_CLLOJA","","S"
"EE7_COLOJA","001","IF(!EMPTY(M->EE7_COLOJA),SA1->A1_NOME,"""")","EE7_CONSDE","P","S","SA1","1","XFILIAL(""SA1"")+M->EE7_CONSIG+IF(!EMPTY(M->EE7_COLOJA),M->EE7_COLOJA,"""")","","S"
"EE7_CONDPA","001","SY6->Y6_DIAS_PA","EE7_DIASPA","P","S","SY6","1","XFILIAL(""SY6"")+M->EE7_CONDPA","","S"
"EE7_CONDPA","002","MSMM(SY6->Y6_DESC_P,50)","EE7_DESCPA","P","S","SY6","1","XFILIAL(""SY6"")+M->EE7_CONDPA+STR(M->EE7_DIASPA,AVSX3(""EE7_DIASPA"",3))","","S"
"EE7_CONDPA","003","IF(EMPTY(M->EE7_CONDPA),"""",SY6->Y6_MDPGEXP)","EE7_MPGEXP","P","S","SY6","1","XFILIAL(""SY6"")+M->EE7_CONDPA+STR(M->EE7_DIASPA,AVSX3(""EE7_DIASPA"",3))","","S"
"EE7_CONDPA","004","IF(EMPTY(M->EE7_CONDPA),"""",EEF->EEF_DESC)","EE7_DSCMPE","P","S","EEF","1","XFILIAL(""EEF"")+M->EE7_MPGEXP","","S"
"EE7_CONDPA","005","M->EE7_CONDPA","EE7_COND2","P","N","","0","","","S"
"EE7_CONDPA","006","M->EE7_DIASPA","EE7_DIAS2","P","N","","0","","","S"
